ticket_id,customer_id,severity,status,opened_at,resolved_at,category,title
TKT-00077,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00078,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00079,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00080,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00081,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00082,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00083,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00084,CUST-0024,P1,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00085,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00086,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00087,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00088,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00089,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00090,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00091,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00092,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00093,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00094,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00095,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00096,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00097,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00098,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00099,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00100,CUST-0010,P1,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00101,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00102,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00103,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00104,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00105,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00106,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00107,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00108,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00109,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00110,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00111,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00112,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00113,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00114,CUST-0024,P2,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00115,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00116,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00117,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00118,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00119,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00120,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00121,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00122,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00123,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00124,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00125,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00126,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00127,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00128,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00129,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00130,CUST-0010,P2,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00131,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00132,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00133,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00134,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00135,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00136,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00137,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00138,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00139,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00140,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00141,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00142,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00143,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00144,CUST-0024,P1,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00145,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00146,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00147,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00148,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00149,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00150,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00151,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00152,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00153,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00154,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00155,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00156,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00157,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00158,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00159,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00160,CUST-0010,P1,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00161,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00162,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00163,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00164,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00165,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00166,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00167,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00168,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00169,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00170,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00171,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00172,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00173,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00174,CUST-0024,P2,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00175,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00176,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00177,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00178,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00179,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00180,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00181,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00182,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00183,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00184,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00185,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00186,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00187,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00188,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00189,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00190,CUST-0010,P2,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00191,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00192,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00193,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00194,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00195,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00196,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00197,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00198,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00199,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00200,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00201,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00202,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00203,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00204,CUST-0024,P1,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00205,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00206,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00207,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00208,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00209,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00210,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00211,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00212,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00213,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00214,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00215,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00216,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00217,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00218,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00219,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00220,CUST-0010,P1,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
TKT-00221,CUST-0011,P3,resolved,2026-07-30,2026-08-01,Integration,Fictional workflow support request
TKT-00222,CUST-0012,P3,resolved,2026-07-27,2026-07-30,Integration,Fictional workflow support request
TKT-00223,CUST-0013,P3,resolved,2026-07-24,2026-07-28,Integration,Fictional workflow support request
TKT-00224,CUST-0014,P3,resolved,2026-07-21,2026-07-26,Integration,Fictional workflow support request
TKT-00225,CUST-0015,P3,resolved,2026-07-18,2026-07-19,workflow-config,Fictional workflow support request
TKT-00226,CUST-0016,P3,resolved,2026-07-15,2026-07-17,Integration,Fictional workflow support request
TKT-00227,CUST-0017,P2,resolved,2026-07-12,2026-07-15,Integration,Fictional workflow support request
TKT-00228,CUST-0018,P3,resolved,2026-07-09,2026-07-13,Integration,Fictional workflow support request
TKT-00229,CUST-0019,P3,resolved,2026-07-06,2026-07-11,Integration,Fictional workflow support request
TKT-00230,CUST-0020,P3,resolved,2026-07-03,2026-07-04,workflow-config,Fictional workflow support request
TKT-00231,CUST-0021,P3,resolved,2026-06-30,2026-07-02,Integration,Fictional workflow support request
TKT-00232,CUST-0022,P3,resolved,2026-06-27,2026-06-30,Integration,Fictional workflow support request
TKT-00233,CUST-0023,P3,resolved,2026-06-24,2026-06-28,Integration,Fictional workflow support request
TKT-00234,CUST-0024,P2,open,2026-06-21,,Integration,Fictional workflow support request
TKT-00235,CUST-0025,P3,resolved,2026-06-18,2026-06-19,workflow-config,Fictional workflow support request
TKT-00236,CUST-0026,P3,resolved,2026-06-15,2026-06-17,Integration,Fictional workflow support request
TKT-00237,CUST-0027,P3,resolved,2026-06-12,2026-06-15,Integration,Fictional workflow support request
TKT-00238,CUST-0028,P3,resolved,2026-06-09,2026-06-13,Integration,Fictional workflow support request
TKT-00239,CUST-0029,P3,resolved,2026-06-06,2026-06-11,Integration,Fictional workflow support request
TKT-00240,CUST-0030,P3,resolved,2026-09-01,2026-09-02,workflow-config,Fictional workflow support request
TKT-00241,CUST-0001,P3,resolved,2026-08-29,2026-08-31,Integration,Fictional workflow support request
TKT-00242,CUST-0002,P3,resolved,2026-08-26,2026-08-29,Integration,Fictional workflow support request
TKT-00243,CUST-0003,P2,open,2026-08-23,,Integration,Fictional workflow support request
TKT-00244,CUST-0004,P3,resolved,2026-08-20,2026-08-25,Integration,Fictional workflow support request
TKT-00245,CUST-0005,P3,resolved,2026-08-17,2026-08-18,workflow-config,Fictional workflow support request
TKT-00246,CUST-0006,P3,resolved,2026-08-14,2026-08-16,Integration,Fictional workflow support request
TKT-00247,CUST-0007,P3,resolved,2026-08-11,2026-08-14,Integration,Fictional workflow support request
TKT-00248,CUST-0008,P3,resolved,2026-08-08,2026-08-12,Integration,Fictional workflow support request
TKT-00249,CUST-0009,P3,resolved,2026-08-05,2026-08-10,Integration,Fictional workflow support request
TKT-00250,CUST-0010,P2,resolved,2026-08-02,2026-08-03,workflow-config,Fictional workflow support request
