usage_id,customer_id,workspace_id,usage_date,active_users,workflows_run,sla_breach_count,ingested_at
USE-0001-0040,CUST-0001,WS-0001,2026-07-13,19,114,2,2026-07-13T02:00:00Z
USE-0001-0041,CUST-0001,WS-0001,2026-07-14,18,108,1,2026-07-14T02:00:00Z
USE-0001-0042,CUST-0001,WS-0001,2026-07-15,26,156,2,2026-07-15T02:00:00Z
USE-0001-0043,CUST-0001,WS-0001,2026-07-16,21,63,2,2026-07-16T02:00:00Z
USE-0001-0044,CUST-0001,WS-0001,2026-07-17,18,90,2,2026-07-17T02:00:00Z
USE-0001-0045,CUST-0001,WS-0001,2026-07-18,22,66,1,2026-07-18T02:00:00Z
USE-0001-0046,CUST-0001,WS-0001,2026-07-19,23,92,1,2026-07-19T02:00:00Z
USE-0001-0047,CUST-0001,WS-0001,2026-07-20,17,85,2,2026-07-20T02:00:00Z
USE-0001-0048,CUST-0001,WS-0001,2026-07-21,19,57,2,2026-07-21T02:00:00Z
USE-0001-0049,CUST-0001,WS-0001,2026-07-22,21,84,0,2026-07-22T02:00:00Z
USE-0001-0050,CUST-0001,WS-0001,2026-07-23,22,88,2,2026-07-23T02:00:00Z
USE-0001-0051,CUST-0001,WS-0001,2026-07-24,25,75,2,2026-07-24T02:00:00Z
USE-0001-0052,CUST-0001,WS-0001,2026-07-25,22,132,0,2026-07-25T02:00:00Z
USE-0001-0053,CUST-0001,WS-0001,2026-07-26,18,90,1,2026-07-26T02:00:00Z
USE-0001-0054,CUST-0001,WS-0001,2026-07-27,20,60,0,2026-07-27T02:00:00Z
USE-0001-0055,CUST-0001,WS-0001,2026-07-28,26,78,0,2026-07-28T02:00:00Z
USE-0001-0056,CUST-0001,WS-0001,2026-07-29,24,72,2,2026-07-29T02:00:00Z
USE-0001-0057,CUST-0001,WS-0001,2026-07-30,19,76,2,2026-07-30T02:00:00Z
USE-0001-0058,CUST-0001,WS-0001,2026-07-31,24,96,1,2026-07-31T02:00:00Z
USE-0001-0059,CUST-0001,WS-0001,2026-08-01,25,150,0,2026-08-01T02:00:00Z
USE-0001-0060,CUST-0001,WS-0001,2026-08-02,25,100,2,2026-08-02T02:00:00Z
USE-0001-0061,CUST-0001,WS-0001,2026-08-03,21,126,2,2026-08-03T02:00:00Z
USE-0001-0062,CUST-0001,WS-0001,2026-08-04,22,132,2,2026-08-04T02:00:00Z
USE-0001-0063,CUST-0001,WS-0001,2026-08-05,24,72,0,2026-08-05T02:00:00Z
USE-0001-0064,CUST-0001,WS-0001,2026-08-06,20,60,1,2026-08-06T02:00:00Z
USE-0001-0065,CUST-0001,WS-0001,2026-08-07,17,68,2,2026-08-07T02:00:00Z
USE-0001-0066,CUST-0001,WS-0001,2026-08-08,20,60,0,2026-08-08T02:00:00Z
USE-0001-0067,CUST-0001,WS-0001,2026-08-09,17,68,0,2026-08-09T02:00:00Z
USE-0001-0068,CUST-0001,WS-0001,2026-08-10,17,85,0,2026-08-10T02:00:00Z
USE-0001-0069,CUST-0001,WS-0001,2026-08-11,25,100,1,2026-08-11T02:00:00Z
USE-0001-0070,CUST-0001,WS-0001,2026-08-12,24,96,2,2026-08-12T02:00:00Z
USE-0001-0071,CUST-0001,WS-0001,2026-08-13,19,114,0,2026-08-13T02:00:00Z
USE-0001-0072,CUST-0001,WS-0001,2026-08-14,24,144,0,2026-08-14T02:00:00Z
USE-0001-0073,CUST-0001,WS-0001,2026-08-15,18,54,2,2026-08-15T02:00:00Z
USE-0001-0074,CUST-0001,WS-0001,2026-08-16,23,115,1,2026-08-16T02:00:00Z
USE-0001-0075,CUST-0001,WS-0001,2026-08-17,23,138,2,2026-08-17T02:00:00Z
USE-0001-0076,CUST-0001,WS-0001,2026-08-18,17,51,0,2026-08-18T02:00:00Z
USE-0001-0077,CUST-0001,WS-0001,2026-08-19,23,115,0,2026-08-19T02:00:00Z
USE-0001-0078,CUST-0001,WS-0001,2026-08-20,20,80,0,2026-08-20T02:00:00Z
USE-0001-0079,CUST-0001,WS-0001,2026-08-21,25,150,0,2026-08-21T02:00:00Z
USE-0001-0080,CUST-0001,WS-0001,2026-08-22,23,92,1,2026-08-22T02:00:00Z
USE-0001-0081,CUST-0001,WS-0001,2026-08-23,24,96,0,2026-08-23T02:00:00Z
USE-0001-0082,CUST-0001,WS-0001,2026-08-24,24,72,0,2026-08-24T02:00:00Z
USE-0001-0083,CUST-0001,WS-0001,2026-08-25,25,75,0,2026-08-25T02:00:00Z
USE-0001-0084,CUST-0001,WS-0001,2026-08-26,20,80,1,2026-08-26T02:00:00Z
USE-0001-0085,CUST-0001,WS-0001,2026-08-27,24,144,0,2026-08-27T02:00:00Z
USE-0001-0086,CUST-0001,WS-0001,2026-08-28,23,69,0,2026-08-28T02:00:00Z
USE-0001-0087,CUST-0001,WS-0001,2026-08-29,23,69,1,2026-08-29T02:00:00Z
USE-0001-0088,CUST-0001,WS-0001,2026-08-30,21,126,1,2026-08-30T02:00:00Z
USE-0001-0089,CUST-0001,WS-0001,2026-08-31,23,138,0,2026-08-31T02:00:00Z
USE-0001-0090,CUST-0001,WS-0001,2026-09-01,20,100,0,2026-09-01T02:00:00Z
USE-0002-0001,CUST-0002,WS-0002,2026-06-04,27,81,2,2026-06-04T02:00:00Z
USE-0002-0002,CUST-0002,WS-0002,2026-06-05,23,69,0,2026-06-05T02:00:00Z
USE-0002-0003,CUST-0002,WS-0002,2026-06-06,27,162,2,2026-06-06T02:00:00Z
USE-0002-0004,CUST-0002,WS-0002,2026-06-07,26,104,0,2026-06-07T02:00:00Z
USE-0002-0005,CUST-0002,WS-0002,2026-06-08,26,78,0,2026-06-08T02:00:00Z
USE-0002-0006,CUST-0002,WS-0002,2026-06-09,19,57,2,2026-06-09T02:00:00Z
USE-0002-0007,CUST-0002,WS-0002,2026-06-10,21,126,0,2026-06-10T02:00:00Z
USE-0002-0008,CUST-0002,WS-0002,2026-06-11,27,108,2,2026-06-11T02:00:00Z
USE-0002-0009,CUST-0002,WS-0002,2026-06-12,27,81,2,2026-06-12T02:00:00Z
USE-0002-0010,CUST-0002,WS-0002,2026-06-13,19,114,2,2026-06-13T02:00:00Z
USE-0002-0011,CUST-0002,WS-0002,2026-06-14,27,135,1,2026-06-14T02:00:00Z
USE-0002-0012,CUST-0002,WS-0002,2026-06-15,21,105,0,2026-06-15T02:00:00Z
USE-0002-0013,CUST-0002,WS-0002,2026-06-16,22,132,0,2026-06-16T02:00:00Z
USE-0002-0014,CUST-0002,WS-0002,2026-06-17,22,132,1,2026-06-17T02:00:00Z
USE-0002-0015,CUST-0002,WS-0002,2026-06-18,19,57,1,2026-06-18T02:00:00Z
USE-0002-0016,CUST-0002,WS-0002,2026-06-19,27,81,0,2026-06-19T02:00:00Z
USE-0002-0017,CUST-0002,WS-0002,2026-06-20,26,104,2,2026-06-20T02:00:00Z
USE-0002-0018,CUST-0002,WS-0002,2026-06-21,22,88,1,2026-06-21T02:00:00Z
USE-0002-0019,CUST-0002,WS-0002,2026-06-22,19,76,1,2026-06-22T02:00:00Z
USE-0002-0020,CUST-0002,WS-0002,2026-06-23,22,88,1,2026-06-23T02:00:00Z
USE-0002-0021,CUST-0002,WS-0002,2026-06-24,26,130,2,2026-06-24T02:00:00Z
USE-0002-0022,CUST-0002,WS-0002,2026-06-25,26,78,2,2026-06-25T02:00:00Z
USE-0002-0023,CUST-0002,WS-0002,2026-06-26,26,130,2,2026-06-26T02:00:00Z
USE-0002-0024,CUST-0002,WS-0002,2026-06-27,19,76,1,2026-06-27T02:00:00Z
USE-0002-0025,CUST-0002,WS-0002,2026-06-28,19,57,2,2026-06-28T02:00:00Z
USE-0002-0026,CUST-0002,WS-0002,2026-06-29,26,104,1,2026-06-29T02:00:00Z
USE-0002-0027,CUST-0002,WS-0002,2026-06-30,22,88,2,2026-06-30T02:00:00Z
USE-0002-0028,CUST-0002,WS-0002,2026-07-01,23,92,2,2026-07-01T02:00:00Z
USE-0002-0029,CUST-0002,WS-0002,2026-07-02,22,132,1,2026-07-02T02:00:00Z
USE-0002-0030,CUST-0002,WS-0002,2026-07-03,18,54,2,2026-07-03T02:00:00Z
USE-0002-0031,CUST-0002,WS-0002,2026-07-04,24,120,0,2026-07-04T02:00:00Z
USE-0002-0032,CUST-0002,WS-0002,2026-07-05,18,90,0,2026-07-05T02:00:00Z
USE-0002-0033,CUST-0002,WS-0002,2026-07-06,22,88,2,2026-07-06T02:00:00Z
USE-0002-0034,CUST-0002,WS-0002,2026-07-07,25,150,2,2026-07-07T02:00:00Z
USE-0002-0035,CUST-0002,WS-0002,2026-07-08,18,54,0,2026-07-08T02:00:00Z
USE-0002-0036,CUST-0002,WS-0002,2026-07-09,20,60,1,2026-07-09T02:00:00Z
USE-0002-0037,CUST-0002,WS-0002,2026-07-10,27,108,1,2026-07-10T02:00:00Z
USE-0002-0038,CUST-0002,WS-0002,2026-07-11,20,60,1,2026-07-11T02:00:00Z
USE-0002-0039,CUST-0002,WS-0002,2026-07-12,23,69,1,2026-07-12T02:00:00Z
USE-0002-0040,CUST-0002,WS-0002,2026-07-13,21,84,2,2026-07-13T02:00:00Z
USE-0002-0041,CUST-0002,WS-0002,2026-07-14,19,95,2,2026-07-14T02:00:00Z
USE-0002-0042,CUST-0002,WS-0002,2026-07-15,24,96,0,2026-07-15T02:00:00Z
USE-0002-0043,CUST-0002,WS-0002,2026-07-16,20,80,1,2026-07-16T02:00:00Z
USE-0002-0044,CUST-0002,WS-0002,2026-07-17,18,72,2,2026-07-17T02:00:00Z
USE-0002-0045,CUST-0002,WS-0002,2026-07-18,23,138,2,2026-07-18T02:00:00Z
USE-0002-0046,CUST-0002,WS-0002,2026-07-19,21,105,0,2026-07-19T02:00:00Z
USE-0002-0047,CUST-0002,WS-0002,2026-07-20,19,114,0,2026-07-20T02:00:00Z
USE-0002-0048,CUST-0002,WS-0002,2026-07-21,25,100,0,2026-07-21T02:00:00Z
USE-0002-0049,CUST-0002,WS-0002,2026-07-22,25,125,1,2026-07-22T02:00:00Z
USE-0002-0050,CUST-0002,WS-0002,2026-07-23,21,84,0,2026-07-23T02:00:00Z
USE-0002-0051,CUST-0002,WS-0002,2026-07-24,21,126,1,2026-07-24T02:00:00Z
USE-0002-0052,CUST-0002,WS-0002,2026-07-25,22,66,1,2026-07-25T02:00:00Z
USE-0002-0053,CUST-0002,WS-0002,2026-07-26,23,138,2,2026-07-26T02:00:00Z
USE-0002-0054,CUST-0002,WS-0002,2026-07-27,26,130,0,2026-07-27T02:00:00Z
USE-0002-0055,CUST-0002,WS-0002,2026-07-28,19,95,0,2026-07-28T02:00:00Z
USE-0002-0056,CUST-0002,WS-0002,2026-07-29,27,135,0,2026-07-29T02:00:00Z
USE-0002-0057,CUST-0002,WS-0002,2026-07-30,19,114,1,2026-07-30T02:00:00Z
USE-0002-0058,CUST-0002,WS-0002,2026-07-31,23,138,2,2026-07-31T02:00:00Z
USE-0002-0059,CUST-0002,WS-0002,2026-08-01,26,78,1,2026-08-01T02:00:00Z
USE-0002-0060,CUST-0002,WS-0002,2026-08-02,27,108,1,2026-08-02T02:00:00Z
USE-0002-0061,CUST-0002,WS-0002,2026-08-03,0,38,0,2026-08-03T02:00:00Z
USE-0002-0062,CUST-0002,WS-0002,2026-08-04,1,34,1,2026-08-04T02:00:00Z
USE-0002-0063,CUST-0002,WS-0002,2026-08-05,0,2,2,2026-08-05T02:00:00Z
USE-0002-0064,CUST-0002,WS-0002,2026-08-06,0,45,2,2026-08-06T02:00:00Z
USE-0002-0065,CUST-0002,WS-0002,2026-08-07,0,25,2,2026-08-07T02:00:00Z
USE-0002-0066,CUST-0002,WS-0002,2026-08-08,0,62,1,2026-08-08T02:00:00Z
USE-0002-0067,CUST-0002,WS-0002,2026-08-09,0,50,2,2026-08-09T02:00:00Z
USE-0002-0068,CUST-0002,WS-0002,2026-08-10,0,10,1,2026-08-10T02:00:00Z
USE-0002-0069,CUST-0002,WS-0002,2026-08-11,0,26,2,2026-08-11T02:00:00Z
USE-0002-0070,CUST-0002,WS-0002,2026-08-12,2,65,1,2026-08-12T02:00:00Z
USE-0002-0071,CUST-0002,WS-0002,2026-08-13,1,8,1,2026-08-13T02:00:00Z
USE-0002-0072,CUST-0002,WS-0002,2026-08-14,0,18,1,2026-08-14T02:00:00Z
USE-0002-0073,CUST-0002,WS-0002,2026-08-15,2,65,1,2026-08-15T02:00:00Z
USE-0002-0074,CUST-0002,WS-0002,2026-08-16,0,80,2,2026-08-16T02:00:00Z
USE-0002-0075,CUST-0002,WS-0002,2026-08-17,0,56,2,2026-08-17T02:00:00Z
USE-0002-0076,CUST-0002,WS-0002,2026-08-18,0,0,1,2026-08-18T02:00:00Z
USE-0002-0077,CUST-0002,WS-0002,2026-08-19,1,60,0,2026-08-19T02:00:00Z
USE-0002-0078,CUST-0002,WS-0002,2026-08-20,0,35,0,2026-08-20T02:00:00Z
USE-0002-0079,CUST-0002,WS-0002,2026-08-21,0,14,0,2026-08-21T02:00:00Z
USE-0002-0080,CUST-0002,WS-0002,2026-08-22,0,2,1,2026-08-22T02:00:00Z
USE-0002-0081,CUST-0002,WS-0002,2026-08-23,2,11,1,2026-08-23T02:00:00Z
USE-0002-0082,CUST-0002,WS-0002,2026-08-24,0,26,2,2026-08-24T02:00:00Z
USE-0002-0083,CUST-0002,WS-0002,2026-08-25,0,74,1,2026-08-25T02:00:00Z
USE-0002-0084,CUST-0002,WS-0002,2026-08-26,0,14,2,2026-08-26T02:00:00Z
USE-0002-0085,CUST-0002,WS-0002,2026-08-27,0,0,1,2026-08-27T02:00:00Z
USE-0002-0086,CUST-0002,WS-0002,2026-08-28,0,14,2,2026-08-28T02:00:00Z
USE-0002-0087,CUST-0002,WS-0002,2026-08-29,1,86,0,2026-08-29T02:00:00Z
USE-0002-0088,CUST-0002,WS-0002,2026-08-30,1,34,0,2026-08-30T02:00:00Z
USE-0002-0089,CUST-0002,WS-0002,2026-08-31,0,30,1,2026-08-31T02:00:00Z
USE-0002-0090,CUST-0002,WS-0002,2026-09-01,1,60,1,2026-09-01T02:00:00Z
USE-0003-0001,CUST-0003,WS-0003,2026-06-04,27,162,2,2026-06-04T02:00:00Z
USE-0003-0002,CUST-0003,WS-0003,2026-06-05,26,104,2,2026-06-05T02:00:00Z
USE-0003-0003,CUST-0003,WS-0003,2026-06-06,26,156,1,2026-06-06T02:00:00Z
USE-0003-0004,CUST-0003,WS-0003,2026-06-07,22,110,2,2026-06-07T02:00:00Z
USE-0003-0005,CUST-0003,WS-0003,2026-06-08,26,104,1,2026-06-08T02:00:00Z
USE-0003-0006,CUST-0003,WS-0003,2026-06-09,26,78,2,2026-06-09T02:00:00Z
USE-0003-0007,CUST-0003,WS-0003,2026-06-10,23,92,1,2026-06-10T02:00:00Z
USE-0003-0008,CUST-0003,WS-0003,2026-06-11,24,120,2,2026-06-11T02:00:00Z
USE-0003-0009,CUST-0003,WS-0003,2026-06-12,20,80,0,2026-06-12T02:00:00Z
USE-0003-0010,CUST-0003,WS-0003,2026-06-13,22,132,2,2026-06-13T02:00:00Z
USE-0003-0011,CUST-0003,WS-0003,2026-06-14,21,84,0,2026-06-14T02:00:00Z
USE-0003-0012,CUST-0003,WS-0003,2026-06-15,25,150,1,2026-06-15T02:00:00Z
USE-0003-0013,CUST-0003,WS-0003,2026-06-16,27,162,1,2026-06-16T02:00:00Z
USE-0003-0014,CUST-0003,WS-0003,2026-06-17,19,76,1,2026-06-17T02:00:00Z
USE-0003-0015,CUST-0003,WS-0003,2026-06-18,25,75,2,2026-06-18T02:00:00Z
USE-0003-0016,CUST-0003,WS-0003,2026-06-19,25,150,0,2026-06-19T02:00:00Z
USE-0003-0017,CUST-0003,WS-0003,2026-06-20,24,120,1,2026-06-20T02:00:00Z
USE-0003-0018,CUST-0003,WS-0003,2026-06-21,25,100,1,2026-06-21T02:00:00Z
USE-0003-0019,CUST-0003,WS-0003,2026-06-22,22,110,1,2026-06-22T02:00:00Z
USE-0003-0020,CUST-0003,WS-0003,2026-06-23,26,78,1,2026-06-23T02:00:00Z
USE-0003-0021,CUST-0003,WS-0003,2026-06-24,24,144,2,2026-06-24T02:00:00Z
USE-0003-0022,CUST-0003,WS-0003,2026-06-25,21,126,0,2026-06-25T02:00:00Z
USE-0003-0023,CUST-0003,WS-0003,2026-06-26,28,84,1,2026-06-26T02:00:00Z
USE-0003-0024,CUST-0003,WS-0003,2026-06-27,28,84,0,2026-06-27T02:00:00Z
USE-0003-0025,CUST-0003,WS-0003,2026-06-28,25,100,1,2026-06-28T02:00:00Z
USE-0003-0026,CUST-0003,WS-0003,2026-06-29,21,63,1,2026-06-29T02:00:00Z
USE-0003-0027,CUST-0003,WS-0003,2026-06-30,25,125,0,2026-06-30T02:00:00Z
USE-0003-0028,CUST-0003,WS-0003,2026-07-01,26,130,1,2026-07-01T02:00:00Z
USE-0003-0029,CUST-0003,WS-0003,2026-07-02,25,125,1,2026-07-02T02:00:00Z
USE-0003-0030,CUST-0003,WS-0003,2026-07-03,23,69,1,2026-07-03T02:00:00Z
USE-0003-0031,CUST-0003,WS-0003,2026-07-04,19,57,1,2026-07-04T02:00:00Z
USE-0003-0032,CUST-0003,WS-0003,2026-07-05,22,66,2,2026-07-05T02:00:00Z
USE-0003-0033,CUST-0003,WS-0003,2026-07-06,19,57,0,2026-07-06T02:00:00Z
USE-0003-0034,CUST-0003,WS-0003,2026-07-07,22,66,2,2026-07-07T02:00:00Z
USE-0003-0035,CUST-0003,WS-0003,2026-07-08,21,84,0,2026-07-08T02:00:00Z
USE-0003-0036,CUST-0003,WS-0003,2026-07-09,26,78,2,2026-07-09T02:00:00Z
USE-0003-0037,CUST-0003,WS-0003,2026-07-10,22,132,2,2026-07-10T02:00:00Z
USE-0003-0038,CUST-0003,WS-0003,2026-07-11,23,115,0,2026-07-11T02:00:00Z
USE-0003-0039,CUST-0003,WS-0003,2026-07-12,28,84,0,2026-07-12T02:00:00Z
USE-0003-0040,CUST-0003,WS-0003,2026-07-13,23,69,2,2026-07-13T02:00:00Z
USE-0003-0041,CUST-0003,WS-0003,2026-07-14,19,95,2,2026-07-14T02:00:00Z
USE-0003-0042,CUST-0003,WS-0003,2026-07-15,25,150,2,2026-07-15T02:00:00Z
USE-0003-0043,CUST-0003,WS-0003,2026-07-16,22,66,2,2026-07-16T02:00:00Z
USE-0003-0044,CUST-0003,WS-0003,2026-07-17,22,66,2,2026-07-17T02:00:00Z
USE-0003-0045,CUST-0003,WS-0003,2026-07-18,23,69,2,2026-07-18T02:00:00Z
USE-0003-0046,CUST-0003,WS-0003,2026-07-19,19,95,2,2026-07-19T02:00:00Z
USE-0003-0047,CUST-0003,WS-0003,2026-07-20,25,125,0,2026-07-20T02:00:00Z
USE-0003-0048,CUST-0003,WS-0003,2026-07-21,27,135,0,2026-07-21T02:00:00Z
USE-0003-0049,CUST-0003,WS-0003,2026-07-22,25,150,0,2026-07-22T02:00:00Z
USE-0003-0050,CUST-0003,WS-0003,2026-07-23,25,125,2,2026-07-23T02:00:00Z
USE-0003-0051,CUST-0003,WS-0003,2026-07-24,26,104,1,2026-07-24T02:00:00Z
USE-0003-0052,CUST-0003,WS-0003,2026-07-25,21,105,2,2026-07-25T02:00:00Z
USE-0003-0053,CUST-0003,WS-0003,2026-07-26,27,162,1,2026-07-26T02:00:00Z
USE-0003-0054,CUST-0003,WS-0003,2026-07-27,25,125,1,2026-07-27T02:00:00Z
USE-0003-0055,CUST-0003,WS-0003,2026-07-28,22,66,1,2026-07-28T02:00:00Z
USE-0003-0056,CUST-0003,WS-0003,2026-07-29,26,104,1,2026-07-29T02:00:00Z
USE-0003-0057,CUST-0003,WS-0003,2026-07-30,28,168,1,2026-07-30T02:00:00Z
USE-0003-0058,CUST-0003,WS-0003,2026-07-31,19,114,1,2026-07-31T02:00:00Z
USE-0003-0059,CUST-0003,WS-0003,2026-08-01,21,126,0,2026-08-01T02:00:00Z
USE-0003-0060,CUST-0003,WS-0003,2026-08-02,24,120,1,2026-08-02T02:00:00Z
USE-0003-0061,CUST-0003,WS-0003,2026-08-03,23,115,2,2026-08-03T02:00:00Z
USE-0003-0062,CUST-0003,WS-0003,2026-08-04,19,76,0,2026-08-04T02:00:00Z
USE-0003-0063,CUST-0003,WS-0003,2026-08-05,22,132,1,2026-08-05T02:00:00Z
USE-0003-0064,CUST-0003,WS-0003,2026-08-06,27,108,2,2026-08-06T02:00:00Z
USE-0003-0065,CUST-0003,WS-0003,2026-08-07,26,156,1,2026-08-07T02:00:00Z
USE-0003-0066,CUST-0003,WS-0003,2026-08-08,19,57,1,2026-08-08T02:00:00Z
USE-0003-0067,CUST-0003,WS-0003,2026-08-09,22,132,2,2026-08-09T02:00:00Z
USE-0003-0068,CUST-0003,WS-0003,2026-08-10,22,110,2,2026-08-10T02:00:00Z
USE-0003-0069,CUST-0003,WS-0003,2026-08-11,28,140,1,2026-08-11T02:00:00Z
USE-0003-0070,CUST-0003,WS-0003,2026-08-12,27,135,1,2026-08-12T02:00:00Z
USE-0003-0071,CUST-0003,WS-0003,2026-08-13,27,135,1,2026-08-13T02:00:00Z
USE-0003-0072,CUST-0003,WS-0003,2026-08-14,26,130,1,2026-08-14T02:00:00Z
USE-0003-0073,CUST-0003,WS-0003,2026-08-15,23,92,0,2026-08-15T02:00:00Z
USE-0003-0074,CUST-0003,WS-0003,2026-08-16,22,110,0,2026-08-16T02:00:00Z
USE-0003-0075,CUST-0003,WS-0003,2026-08-17,27,108,0,2026-08-17T02:00:00Z
USE-0003-0076,CUST-0003,WS-0003,2026-08-18,22,132,1,2026-08-18T02:00:00Z
USE-0003-0077,CUST-0003,WS-0003,2026-08-19,28,140,0,2026-08-19T02:00:00Z
USE-0003-0078,CUST-0003,WS-0003,2026-08-20,22,110,0,2026-08-20T02:00:00Z
USE-0003-0079,CUST-0003,WS-0003,2026-08-21,24,96,1,2026-08-21T02:00:00Z
USE-0003-0080,CUST-0003,WS-0003,2026-08-22,19,76,1,2026-08-22T02:00:00Z
USE-0003-0081,CUST-0003,WS-0003,2026-08-23,19,57,2,2026-08-23T02:00:00Z
USE-0003-0082,CUST-0003,WS-0003,2026-08-24,23,92,2,2026-08-24T02:00:00Z
USE-0003-0083,CUST-0003,WS-0003,2026-08-25,26,78,0,2026-08-25T02:00:00Z
USE-0003-0084,CUST-0003,WS-0003,2026-08-26,28,140,1,2026-08-26T02:00:00Z
USE-0003-0085,CUST-0003,WS-0003,2026-08-27,26,156,1,2026-08-27T02:00:00Z
USE-0003-0086,CUST-0003,WS-0003,2026-08-28,21,63,1,2026-08-28T02:00:00Z
USE-0003-0087,CUST-0003,WS-0003,2026-08-29,26,78,0,2026-08-29T02:00:00Z
USE-0003-0088,CUST-0003,WS-0003,2026-08-30,25,150,0,2026-08-30T02:00:00Z
USE-0003-0089,CUST-0003,WS-0003,2026-08-31,28,84,0,2026-08-31T02:00:00Z
USE-0003-0090,CUST-0003,WS-0003,2026-09-01,21,105,0,2026-09-01T02:00:00Z
USE-0004-0001,CUST-0004,WS-0004,2026-06-04,21,126,2,2026-06-04T02:00:00Z
USE-0004-0002,CUST-0004,WS-0004,2026-06-05,29,116,2,2026-06-05T02:00:00Z
USE-0004-0003,CUST-0004,WS-0004,2026-06-06,26,156,1,2026-06-06T02:00:00Z
USE-0004-0004,CUST-0004,WS-0004,2026-06-07,24,144,1,2026-06-07T02:00:00Z
USE-0004-0005,CUST-0004,WS-0004,2026-06-08,29,87,2,2026-06-08T02:00:00Z
USE-0004-0006,CUST-0004,WS-0004,2026-06-09,21,84,2,2026-06-09T02:00:00Z
USE-0004-0007,CUST-0004,WS-0004,2026-06-10,23,115,2,2026-06-10T02:00:00Z
USE-0004-0008,CUST-0004,WS-0004,2026-06-11,21,84,0,2026-06-11T02:00:00Z
